Id,Name,City,State,Country,Latitude,Longitude,TotalInvoices,LastYearInvoices
"26ef793e-7fe0-e011-bd69-0026b9f9e50c","ABB Optical Group","Coral Springs","FL","","26.27994","-80.29056","502842.54","28170.00"
"925cf08b-56e1-db11-8eef-0003ff9e2b47","ABBOTT LABORATORIES","ABBOTT PARK","IL","USA","42.30227","-87.89083","68015.00","0.00"
"2138055b-a367-e011-939b-0026b9f9e50c","ABC Financial","Sherwood","AR","USA","34.8306","-92.23121","79264.41","0.00"
"73664b6e-7595-e211-92f3-0026b9f9e50c","ACE Hardware","Oak Brook","Illinois","United States","41.84348","-87.95147","412159.79","42520.64"
"81cf5384-987f-e211-92f3-0026b9f9e50c","Advanta IRA","Largo","FL","USA","27.89291","-82.76121","13313.75","0.00"
"fdfee454-4771-e211-92f3-0026b9f9e50c","Advocate Healthcare","Park Ridge","Illinois","United States","42.01126","-87.82352","0.00","0.00"
"4a2e2d67-e25d-df11-b9a6-00101826f7f4","Airoom Architects Inc","Lincolnwood","IL","","42.00515","-87.73042","0.00","0.00"
"31473030-3030-3031-384c-567457494157","Akron Brass","86 Wooster","OH","United States","40.41305","-82.71121","80932.18","80932.18"
"a8e6343d-e09a-e211-92f3-0026b9f9e50c","Ale Solutions, Inc.","Saint Charles","IL","US","41.91164","-88.31313","23517.48","0.00"
"61989397-3764-42b2-89e2-747bccaafc4d","Alexian Brothers Health System","Arlington Heights","IL","USA","42.09125","-88.01884","62959.72","0.00"
"fcb84cc1-c270-e211-92f3-0026b9f9e50c","Alliance of Merger & Acquisition Advisors","Chicago","Illinois","United States","41.88455","-87.62214","0.00","0.00"
"8bd4765c-36e3-469f-8d4a-0344586078f5","Allstate Corp","Northbrook","IL","USA","42.10327","-87.87549","42857.14","42857.14"
"e2c93341-c321-e111-ae50-0026b9f9e50c","Amec Foster Wheeler","Alpharetta","GA","US","34.04946","-84.31415","1296918.41","684310.27"
"e0ac296b-c8d8-dc11-bd0d-00101826f7f4","American Institutes for Research","Washington","DC","USA","38.90284","-77.06062","128657.50","0.00"
"ea121864-f5b0-e211-8486-0026b9f9e50c","American Nutrition Association","La Grange","Illinois","United States","41.80411","-87.88872","8178.75","0.00"
"6c59b49e-73fb-dc11-a14f-00101826f7f4","Ameriprise Financial, Inc.","Minneapolis","MN","US","44.9767","-93.26849","60800.00","0.00"
"41565842-4771-e211-92f3-0026b9f9e50c","Analysts International","","","","0","0","0.00","0.00"
"b4fdc25c-b76d-4588-b114-31cfb811c113","AON Hewitt LLC","Chicago","IL","US","42.2021","-87.8952","3648772.15","615146.25"
"31473030-3030-3031-5538-753050494152","Apex Supply Chain Technologies","Mason","OH","United States","39.3126","-84.30345","20394.05","18394.05"
"aced2ace-33a1-e211-92f3-0026b9f9e50c","Appcelerator Inc.","Mountain View","CA","US","37.38957","-122.05022","55487.50","0.00"
"fc7c241a-c296-dc11-b282-00101826f7f4","Argus Software","Houston","TX","","29.7346","-95.46072","1160654.57","0.00"
"f31b56dc-4699-4db8-ba1c-455c771d9893","ARTHUR J GALLAGHER & CO","Itasca","IL","USA","41.98806","-88.01484","30050.00","0.00"
"d7790b45-f64b-df11-b9a6-00101826f7f4","Avnet, Inc.","Phoenix","AZ","","33.42664","-111.98126","1414746.64","1414746.64"
"8c48fa1c-8030-44b7-b92f-6c14d4e15a02","Bain & Company","Boston","MA","USA","42.34683","-71.07542","76780.44","76780.44"
"d673b1ca-ee1a-4e4d-a9af-16edeee05199","Bally Technologies","Las Vegas","NV","United States","36.06974","-115.15588","896272.02","243767.21"
"21878fe3-7461-dc11-ab02-00101826f7f4","BDO USA, LLP","Chicago","IL","","41.88485","-87.61681","444850.49","427226.74"
"a2237c75-7561-dc11-ab02-00101826f7f4","Best Buy","RICHFIELD","MN","US","44.86388","-93.30611","1242231.89","0.00"
"2d2cc970-de6a-dd11-ba46-00101826f7f4","BigMachines Inc.","Deerfield","IL","","42.15381","-87.84337","123281.55","79.00"
"3bdd7bc2-d09d-e011-8a04-0026b9f9e50c","Blackman Kallick","Chicago","IL","USA","41.88167","-87.6388","0.00","0.00"
"e23837c6-fae2-4aa4-b9d7-c10e5a970457","Boise Paper","Vancouver","WA","","43.61963","0","114783.83","101008.83"
"9cbf9049-d3a7-e311-9df5-0026b9f9e50c","Boston Consulting Group","Boston","MA","United States","0","0","751636.58","711500.46"
"b0ec6d3c-dd8c-de11-af38-00101826f7f4","Brookfield Asset Management Inc.","Toronto","ON","Canada","43.65031","-79.37829","152307.23","0.00"
"75cdef8e-0f76-de11-b9e8-00101826f7f4","Brookfield Technology Services","New York","NY","USA","40.71375","-74.01403","0.00","0.00"
