Id,Date,Hours,ProjectId,ProjectName,TaskId,TaskName,IsBillable
cd94a7c6-e123-e511-80bd-00155dfc3b0a,7/6/2015,0.5,4c2dc0ba-fabd-e411-80ba-00155dfc3b0a,Pearson Embanet: 2015 Releases,22afbdc0-fabd-e411-80ba-00155dfc3b0a,Testing and Debugging,TRUE
95bf0e36-e923-e511-80bd-00155dfc3b0a,7/6/2015,0.75,80cd592f-c4f5-e411-80bb-00155dfc3b0a,Martin Sprocket- MS CRM Implementation,6122ffb9-1919-e511-80bd-00155dfc3b0a,1 - Support,TRUE
7344a821-eb23-e511-80bd-00155dfc3b0a,7/6/2015,0.25,26513fe5-e5f1-e411-80bb-00155dfc3b0a,Preferred Hotel Group- MS CRM 2013 Implementation,d61f3eeb-e5f1-e411-80bb-00155dfc3b0a,00. Project Management and Status Updates,TRUE
bb7110b4-ee23-e511-80bd-00155dfc3b0a,7/6/2015,0.25,53a8b260-77a5-e411-80ba-00155dfc3b0a,Avnet - MSCRM Implementation,ce922667-77a5-e411-80ba-00155dfc3b0a,Project Management and Status Updates,TRUE
aaeab55f-ef23-e511-80bd-00155dfc3b0a,7/6/2015,2.5,6490121e-df06-e511-80bd-00155dfc3b0a,MAG Canada: CRM Deployment & iMAB Redesign - Phase I,a7810107-b013-e511-80bd-00155dfc3b0a,iMAB: User Experience and User Interface Design,TRUE
a4195683-ef23-e511-80bd-00155dfc3b0a,7/6/2015,0.5,eab20e26-75f2-e411-80bb-00155dfc3b0a,Brooklyn Brewery: CRM/Mobile Discovery,133d182c-75f2-e411-80bb-00155dfc3b0a,Project Management and Status Updates,TRUE
c4474597-ef23-e511-80bd-00155dfc3b0a,7/6/2015,1,f061a36b-5d09-e511-80bd-00155dfc3b0a,Leader Dogs: Phase II,4ae4a577-5d09-e511-80bd-00155dfc3b0a,Project Management and Status Updates,TRUE
911a7cb8-f223-e511-80bd-00155dfc3b0a,7/6/2015,0.5,de1bab1d-fbaa-e411-80ba-00155dfc3b0a,Kellogg Canada - Salesforce Support,affc0c24-fbaa-e411-80ba-00155dfc3b0a,Support Requests/Follow-up,TRUE
006f45e2-fd23-e511-80bd-00155dfc3b0a,7/6/2015,2,80cd592f-c4f5-e411-80bb-00155dfc3b0a,Martin Sprocket- MS CRM Implementation,6122ffb9-1919-e511-80bd-00155dfc3b0a,1 - Support,TRUE
3d22a436-0024-e511-80bd-00155dfc3b0a,7/6/2015,2,4b10bacb-cd04-e511-80bd-00155dfc3b0a,HUB International: CRM 2015 Discover,4b05bad1-cd04-e511-80bd-00155dfc3b0a,Project Discovery and Requirements Documentation,TRUE
81ec9847-0024-e511-80bd-00155dfc3b0a,7/6/2015,4,4b10bacb-cd04-e511-80bd-00155dfc3b0a,HUB International: CRM 2015 Discover,4b05bad1-cd04-e511-80bd-00155dfc3b0a,Project Discovery and Requirements Documentation,TRUE
886a62a9-0824-e511-80bd-00155dfc3b0a,7/6/2015,0.75,49490ebc-46a8-e211-8486-0026b9f9e50c,Deloitte - Microsoft CRM Pension Integration - Architecture & Planning Phase,db988142-4979-e311-8486-0026b9f9e50c,Phase 4A User Acceptance Testing Support,TRUE
9b45ad00-1524-e511-80bd-00155dfc3b0a,7/6/2015,0.25,d23db26e-64bd-e411-80ba-00155dfc3b0a,ET: Dedicated Developer Extensions - Q1 2015,600d6691-49c7-e411-80ba-00155dfc3b0a,Dedicated Development,TRUE
a445ad00-1524-e511-80bd-00155dfc3b0a,7/6/2015,0.75,d23db26e-64bd-e411-80ba-00155dfc3b0a,ET: Dedicated Developer Extensions - Q1 2015,600d6691-49c7-e411-80ba-00155dfc3b0a,Dedicated Development,TRUE
fb5257b4-1624-e511-80bd-00155dfc3b0a,7/6/2015,0.25,fb824ff1-f3de-e411-80bb-00155dfc3b0a,YRC- Upgrade to 2015 (Dev Work),ed9945fd-f3de-e411-80bb-00155dfc3b0a,Project Management and Status Updates,TRUE
fe5257b4-1624-e511-80bd-00155dfc3b0a,7/6/2015,1.5,fb824ff1-f3de-e411-80bb-00155dfc3b0a,YRC- Upgrade to 2015 (Dev Work),30c048f7-f3de-e411-80bb-00155dfc3b0a,System Configuration and Custom Development,TRUE
015357b4-1624-e511-80bd-00155dfc3b0a,7/6/2015,1,974da117-c1b7-e411-80ba-00155dfc3b0a,Wacom- Global MS CRM Online Roll out,9811981d-c1b7-e411-80ba-00155dfc3b0a,Software Installation and Code Deployments,TRUE
045357b4-1624-e511-80bd-00155dfc3b0a,7/6/2015,0.5,4c2dc0ba-fabd-e411-80ba-00155dfc3b0a,Pearson Embanet: 2015 Releases,16afbdc0-fabd-e411-80ba-00155dfc3b0a,System Configuration and Custom Development,TRUE
c07ea707-1f24-e511-80bd-00155dfc3b0a,7/6/2015,0.5,d23db26e-64bd-e411-80ba-00155dfc3b0a,ET: Dedicated Developer Extensions - Q1 2015,600d6691-49c7-e411-80ba-00155dfc3b0a,Dedicated Development,TRUE
c37ea707-1f24-e511-80bd-00155dfc3b0a,7/6/2015,0.5,d23db26e-64bd-e411-80ba-00155dfc3b0a,ET: Dedicated Developer Extensions - Q1 2015,600d6691-49c7-e411-80ba-00155dfc3b0a,Dedicated Development,TRUE
c67ea707-1f24-e511-80bd-00155dfc3b0a,7/6/2015,0.5,d23db26e-64bd-e411-80ba-00155dfc3b0a,ET: Dedicated Developer Extensions - Q1 2015,600d6691-49c7-e411-80ba-00155dfc3b0a,Dedicated Development,TRUE
c97ea707-1f24-e511-80bd-00155dfc3b0a,7/6/2015,0.25,d23db26e-64bd-e411-80ba-00155dfc3b0a,ET: Dedicated Developer Extensions - Q1 2015,600d6691-49c7-e411-80ba-00155dfc3b0a,Dedicated Development,TRUE
3465f0a9-2124-e511-80bd-00155dfc3b0a,7/6/2015,0.25,72196759-ae24-e511-80bd-00155dfc3b0a,Amec Foster Wheeler - 2015 H2 Dedicated Resources,1b42a7b6-1625-e511-80bd-00155dfc3b0a,Post-Deployment Support,TRUE
3765f0a9-2124-e511-80bd-00155dfc3b0a,7/6/2015,0.25,13f395db-f5ef-e311-a635-0026b9f9e50c,PepsiCo: Sales Force Transformation (Phase 1),5215ac87-3d43-e411-a635-0026b9f9e50c,It 4 Project Management and Status Updates,TRUE
3a65f0a9-2124-e511-80bd-00155dfc3b0a,7/6/2015,4.25,72196759-ae24-e511-80bd-00155dfc3b0a,Amec Foster Wheeler - 2015 H2 Dedicated Resources,188f42b3-81ad-e411-80ba-00155dfc3b0a,Implementation: Post-Deployment Support,TRUE
3d65f0a9-2124-e511-80bd-00155dfc3b0a,7/6/2015,0.75,7f3902be-0dff-e411-80bd-00155dfc3b0a,MABI: Mability Phase III,dd8dfbc3-0dff-e411-80bd-00155dfc3b0a,Testing and Debugging,TRUE
4065f0a9-2124-e511-80bd-00155dfc3b0a,7/6/2015,0.25,13f395db-f5ef-e311-a635-0026b9f9e50c,PepsiCo: Sales Force Transformation (Phase 1),363fa6b7-3d43-e411-a635-0026b9f9e50c,It 4 Testing and Debugging,TRUE
4f65f0a9-2124-e511-80bd-00155dfc3b0a,7/6/2015,0.25,a02c881b-dff0-e411-80bb-00155dfc3b0a,Starwood - Dedicated Support Extension (May - July),612e8ad5-dff7-e411-80bc-00155dfc3b0a,Testing and Debugging,TRUE
cf29ed2c-2324-e511-80bd-00155dfc3b0a,7/6/2015,0.25,4c2dc0ba-fabd-e411-80ba-00155dfc3b0a,Pearson Embanet: 2015 Releases,4dafbdc0-fabd-e411-80ba-00155dfc3b0a,Project Management and Status Updates,TRUE
52fd5a94-2424-e511-80bd-00155dfc3b0a,7/6/2015,1.25,49490ebc-46a8-e211-8486-0026b9f9e50c,Deloitte - Microsoft CRM Pension Integration - Architecture & Planning Phase,db988142-4979-e311-8486-0026b9f9e50c,Phase 4A User Acceptance Testing Support,TRUE
64fd5a94-2424-e511-80bd-00155dfc3b0a,7/6/2015,0.25,25a8963a-6b4a-e411-a635-0026b9f9e50c,SullCrom: Dynamics CRM Implementation,01fd8952-7e55-e411-9bfa-0026b9f9e50c,2e: User Acceptance Testing Support,TRUE
67fd5a94-2424-e511-80bd-00155dfc3b0a,7/6/2015,2.25,974da117-c1b7-e411-80ba-00155dfc3b0a,Wacom- Global MS CRM Online Roll out,37d146bc-940f-e511-80bd-00155dfc3b0a,5c. Testing and Debugging,TRUE
6afd5a94-2424-e511-80bd-00155dfc3b0a,7/6/2015,0.5,6b14519d-c295-e411-b7a3-0026b9f9e50c,Plante Moran: CRM 2015 Implementation,3348620d-eed0-e411-80ba-00155dfc3b0a,Iteration 4: Testing and Debugging,TRUE
70fd5a94-2424-e511-80bd-00155dfc3b0a,7/6/2015,0.75,b0092398-1dee-e411-80bb-00155dfc3b0a,JLL: AP ClientFirst to Agentpoint,28b06d9e-1dee-e411-80bb-00155dfc3b0a,Testing and Debugging,TRUE
2c02ef8c-2524-e511-80bd-00155dfc3b0a,7/6/2015,1,26513fe5-e5f1-e411-80bb-00155dfc3b0a,Preferred Hotel Group- MS CRM 2013 Implementation,941f3eeb-e5f1-e411-80bb-00155dfc3b0a,01. Definition and Design,TRUE
c724a996-2524-e511-80bd-00155dfc3b0a,7/6/2015,2,26513fe5-e5f1-e411-80bb-00155dfc3b0a,Preferred Hotel Group- MS CRM 2013 Implementation,941f3eeb-e5f1-e411-80bb-00155dfc3b0a,01. Definition and Design,TRUE
e676b09c-2524-e511-80bd-00155dfc3b0a,7/6/2015,0.25,4c2dc0ba-fabd-e411-80ba-00155dfc3b0a,Pearson Embanet: 2015 Releases,4dafbdc0-fabd-e411-80ba-00155dfc3b0a,Project Management and Status Updates,TRUE
8604c0a5-2524-e511-80bd-00155dfc3b0a,7/6/2015,0.5,fb824ff1-f3de-e411-80bb-00155dfc3b0a,YRC- Upgrade to 2015 (Dev Work),ed9945fd-f3de-e411-80bb-00155dfc3b0a,Project Management and Status Updates,TRUE
ff840abd-2524-e511-80bd-00155dfc3b0a,7/6/2015,0.25,80cd592f-c4f5-e411-80bb-00155dfc3b0a,Martin Sprocket- MS CRM Implementation,6122ffb9-1919-e511-80bd-00155dfc3b0a,1 - Support,TRUE
f0879cc2-2624-e511-80bd-00155dfc3b0a,7/6/2015,0.25,6490121e-df06-e511-80bd-00155dfc3b0a,MAG Canada: CRM Deployment & iMAB Redesign - Phase I,1dde6f26-df06-e511-80bd-00155dfc3b0a,General: Project Management and Status Updates,TRUE
f3879cc2-2624-e511-80bd-00155dfc3b0a,7/6/2015,0.75,6490121e-df06-e511-80bd-00155dfc3b0a,MAG Canada: CRM Deployment & iMAB Redesign - Phase I,1dde6f26-df06-e511-80bd-00155dfc3b0a,General: Project Management and Status Updates,TRUE
f6879cc2-2624-e511-80bd-00155dfc3b0a,7/6/2015,3,6490121e-df06-e511-80bd-00155dfc3b0a,MAG Canada: CRM Deployment & iMAB Redesign - Phase I,eddd6f26-df06-e511-80bd-00155dfc3b0a,CRM Iteration 1: Testing and Debugging,TRUE
